Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Edelweiss Balanced Advantage Fund-Reg(G),Bhavesh Jain,HY-DYN,5,12380.6,1.69,Open Ended,20-Aug-09,NIFTY 50 Hybrid Composite Debt 50:50 Index,49.87,52.04,43.19,-0.1,-4.45,0.73,13.36,16.39,11.55,15,10.76,235,104,209927,50.54,13.65,7.18,Financials,1.41,1.13,6.98,4.33,0.94,1.34,1.64,9.66,Hybrid : Dynamic Asset Allocation,Nil upto 10% of units and 1% for remaining units on or before 90D Nil after 90D
Edelweiss Banking and PSU Debt Fund-Reg(G),Dhawal Dalal,DT-B&PSU,5,271,0.7,Open Ended,13-Sep-13,CRISIL Banking and PSU Debt Index,23.55,23.55,21.77,0.41,1.28,4.17,8.14,7.31,5.69,6.84,7.52,0,96,70952,37.77,23.86,3.63,Financials,4.6,3.66,7.16,2.65,3.58,6.52,0.48,1.14,Debt : Banking & PSU,NIL
Edelweiss BSE Capital Markets & Insurance ETF,Bhavesh Jain,EQ-ETF,Unrated,653.5,0.35,Open Ended,30-Dec-24,BSE Capital Markets & Insurance - TRI,21.2,21.2,20.85,-1.54,-7.01,0.21,40.42,6.62,5.94,13.92,9.92,0,15,222957,7.88,12.9,35.67,Financials,9.03,0.42,7.2,7.43,0.83,1.18,1.07,14.87,Equity : ETFs,1% on or before 30D Nil after 30D
Edelweiss Business Cycle Fund-Reg(G),Bhavesh Jain,EQ-THEM,Unrated,1846.3,2,Open Ended,29-Jul-24,NIFTY 500 - TRI,9.56,10.3,8.9,1.89,-7.95,-2.46,23.24,7.75,5.41,5.38,12.37,44,59,109253,44.78,48.45,6.12,Financials,6,4.62,6.77,18.6,0.68,1.2,1.91,33.86,Equity : Thematic,1% on or before 90D Nil after 90D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund-Reg(G),Dhawal Dalal,DT-LD,Unrated,1070.3,0.46,Open Ended,11-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2037,12.2,12.23,10.99,0.59,0.96,4.66,10.69,8.92,15.37,26.36,11.87,0,50,221538,96.33,24.62,1.34,Financials,11.84,7.67,7.15,2.85,2.94,5.32,1.13,2.12,Debt : Long Duration,0.10% on or before 30D Nil after 30D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL June 2027 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,Unrated,95.9,0.45,Open Ended,18-Oct-22,CRISIL IBX 50:50 Gilt Plus SDL Index - June 2027,11.76,11.76,10.91,0.53,1.46,3.85,7.86,7.41,13.87,20.08,8.69,0,50,120980,70.58,24.39,15.35,Financials,2.42,2.13,6.91,2.85,5.42,11.6,0.29,0.69,Debt : Medium to Long Duration,0.10% on or before 30D Nil after 30D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,Unrated,156.7,0.45,Open Ended,10-Nov-22,CRISIL IBX 50:50 Gilt Plus SDL Index - Sep 2028,11.79,11.8,10.9,0.46,1.35,4.12,8.13,7.76,13.03,5.32,6.61,0,47,560590,78.82,11.76,20.92,Financials,3.5,2.99,6.98,2.65,3.93,8.3,0.44,1.01,Debt : Medium to Long Duration,0.10% upto 30D Nil after 30D
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund-Reg(G),Rahul Dedhia,DT-SD,Unrated,152.8,0.63,Open Ended,15-Feb-23,CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index,11.46,11.46,10.64,0.51,1.35,3.86,7.75,21.97,18.85,23.53,6.29,0,30,143072,45.89,10.37,0.15,Financials,2.92,2.53,6.94,2.67,5.18,11.3,0.31,0.7,Debt : Short Duration,Nil
Edelweiss CRISIL IBX AAA Financial Services Bond - Jan 2028 Index Fund-Reg(G),Dhawal Dalal,DT-M&LD,Unrated,132.4,0.35,Open Ended,27-Nov-24,CRISIL-IBX AAA Financial Services Index - Jan 2028,10.06,10.06,10,0.6,-11.54,-1.25,8.24,6.91,6.36,5.61,6.56,0,64,224544,51.84,24.99,0.77,Financials,2.85,2.4,7.75,1.49,2.47,4.46,0.03,12.86,Debt : Medium to Long Duration,0.10% upto 30D Nil after 30D
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund-Reg(G),Dhawal Dalal,DT-MD,Unrated,803.7,0.4,Open Ended,10-Mar-22,CRISIL IBX 50:50 PSU + SDL Index - October 2025,11.67,11.67,10.87,0.57,1.61,3.54,7.37,7.1,6.6,6.49,12.29,0,12,77265,50.64,16.45,1.58,Financials,0.69,0.65,7.28,3.05,8.25,18.65,0.08,0.4,Debt : Medium Duration,0.10% upto 30D Nil after 30D
Edelweiss ELSS Tax saver Fund-Reg(G),Ashwani Agarwalla,EQ-ELSS,3,397.7,2.34,Open Ended,30-Dec-08,NIFTY 500 - TRI,110.7,116.83,89.8,-0.51,-5.56,0.6,20.52,24.17,15.62,17.8,12.52,24,94,199450,65.59,17.62,13.96,Financials,5.09,1.81,7.39,10.91,1.06,1.55,1,15.06,Equity : Tax Saving (ELSS),Nil
Edelweiss Emerging Markets Opp Eq. Offshore Fund-Reg(G),Bhavesh Jain,FOF-OVR,Unrated,114.5,2.33,Open Ended,07-Jul-14,MSCI Emerging Market Index,15.04,16.13,13.29,2.15,-5.55,-2.3,5.92,5.69,-2.42,1.24,4.2,0,17,106445,45.12,5.29,16.56,Retail and Other Services,1.16,4.42,7.33,-0.96,0.2,0.33,1.22,14.63,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss Equity Savings Fund-Reg(G),Bharat Lahoti,HY-EQ,2,560.9,1.59,Open Ended,13-Oct-14,NIFTY 50 Equity Savings Index,24.34,24.34,21.33,1.67,0.64,4.68,13.52,13.35,9.96,10.84,8.92,608,107,181706,44.43,15.89,6.88,Financials,3.59,2.78,7.12,6.88,2.37,3.68,0.7,3.78,Hybrid : Equity Oriented,0.25% on or before 30D Nil after 30D
Edelweiss Europe Dynamic Equity Off-shore Fund-Reg(G),Bhavesh Jain,FOF-OVR,Unrated,74.4,2.33,Open Ended,07-Feb-14,MSCI Europe Index (Total Return Net),18.4,20.22,16.76,-1.92,-8.15,-1.98,5.37,11.14,5.1,9.03,6.61,0,49,222957,100.05,8.01,11.32,Financials,3.55,2,7,-2.04,0.17,0.25,1.37,13.66,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss Flexi Cap Fund-Reg(G),Trideep Bhattacharya,EQ-FLEX,3,2445.9,1.95,Open Ended,03-Feb-15,NIFTY 500 - TRI,38.61,40.75,29.97,-0.48,-5.76,1.36,25.89,28.28,18.47,20.49,12.52,36,79,216796,69.99,18.96,9.52,Financials,2.3,8.69,6.79,15.35,1.3,1.9,1.03,15.86,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Edelweiss Focused Fund-Reg(G),Trideep Bhattacharya,EQ-FLEX,Unrated,916.9,2.22,Open Ended,01-Aug-22,NIFTY 500 - TRI,16.79,17.46,13.23,0.27,-4.49,1.51,23.48,27.21,13.99,14.42,6.41,45,28,257906,73.86,19.75,3.74,Financials,5.19,3.63,7.09,13.23,1.19,1.79,1.01,15.46,Equity : Flexi Cap,1% on or before 90D Nil after 90D
Edelweiss Gold and Silver ETF FoF-Reg(G),Bhavesh Jain,FOF-DOM,Unrated,187.3,0.71,Open Ended,14-Sep-22,Gold-India,14.72,16.02,11.49,-1.91,-1.66,1.95,17.33,13.7,0.46,10.84,5.74,0,50,89092,54.06,7.1,2.14,Financials,22.22,4.46,7.03,16.2,0.71,1.19,-0.77,19.49,FoFs : Domestic,0.10% on or before 15D Nil after 15D
Edelweiss Gold ETF,Amit Vora,GOLD-ETF,Unrated,97.8,0.35,Open Ended,07-Nov-23,Gold-India,78.2,80.87,63.06,-0.16,1.3,6.32,19.82,3.37,6.11,12.06,13.03,0,76,158817,73.82,1.84,22.84,Financials,20.19,0.38,7.71,15.3,1.23,1.86,0.02,12.45,Gold : ETFs,Nil
Edelweiss Government Securities Fund-Reg(G),Rahul Dedhia,DT-GILT,5,191.7,1.14,Open Ended,13-Feb-14,CRISIL Dynamic Gilt Index,23.66,23.75,21.49,0.24,0.15,3.75,9.86,7.92,6.08,7.05,7.56,0,31,63782,64.9,13.99,10.09,Financials,21.7,9.87,7.04,1.29,2.09,3.84,1.4,2.61,Debt : Gilt,NIL
Edelweiss Gr China Equity Off-Shore Fund-Reg(G),Bhavesh Jain,FOF-OVR,Unrated,1572.2,2.36,Open Ended,26-Aug-09,MSCI Golden Dragon Index (Total Return Net),38.11,43.05,29.97,4.87,-3.97,9.05,14.76,1.46,-6.69,3.16,7.12,0,64,290186,7.88,5.41,7.06,Financials,0.54,0.01,7.78,10.51,0.6,1.07,0.92,23.22,FoFs : Overseas,1% on or before 90D Nil after 90D
Edelweiss Large & Mid Cap Fund-Reg(G),Sumanta Khan,EQ-L&M,4,3745.2,1.87,Open Ended,14-Jun-07,NIFTY LargeMidcap 250 - TRI,88.26,91.07,68.89,0.22,-3.83,3.31,24.77,27.82,18.5,21.47,14.9,13,96,122627,48.8,35.9,13.5,Financials,0.44,3.56,7.76,14.79,1.27,1.88,0.97,15.55,Equity : Large & Mid Cap,1% on or before 90D Nil after 90D
Edelweiss Large Cap Fund-Reg(G),Bharat Lahoti,EQ-LC,3,1100.2,2.17,Open Ended,20-May-09,NIFTY 100 - TRI,82.96,89.65,69.88,-0.61,-7.72,-0.71,15.3,21.02,14.99,16.88,12.75,106,73,332230,81.98,14.41,0.93,Financials,0.56,0.01,6.56,6.48,0.81,1.2,0.96,13.97,Equity : Large Cap,1% on or before 90D Nil after 90D
Edelweiss Liquid Fund-Reg(G),Rahul Dedhia,DT-LIQ,3,5902.9,0.22,Open Ended,16-Sep-08,CRISIL Liquid Debt Index,3227.81,3227.81,3007.51,0.59,1.74,3.54,7.34,7.09,6.28,5.23,6.16,0,38,415145,42.67,27.77,7.05,Financials,0.12,0.12,7.04,0.73,10.33,5.41,0.08,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Edelweiss Mid Cap Fund-Reg(G),Trideep Bhattacharya,EQ-MID,4,8280.4,1.73,Open Ended,26-Dec-07,Nifty Midcap 150 - TRI,102.36,103.98,72.34,1.7,-1.09,7.37,38.94,39.28,25.9,30.16,18.89,45,77,59994,14.78,66.55,16.03,Financials,3.28,0.24,7.33,26.43,1.77,2.65,0.95,17.61,Equity : Mid Cap,1% on or before 90D Nil after 90D
Edelweiss Money Market Fund-Reg(G),Pranavi Kulkarni,DT-DYN,2,1261.5,0.82,Open Ended,27-Jun-08,CRISIL Money Market Index,27.43,27.43,25.65,0.57,1.63,3.37,6.96,6.69,5.62,5.17,6.35,0,30,211630,59.45,2.91,21.2,Financials,0.52,0.52,7.38,2.85,9.84,19.71,0.03,0.3,Debt : Dynamic Bond,Nil
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,153.7,1.04,Open Ended,26-Oct-20,MSCI India Domestic & World Healthcare 45 Index,19.84,20.41,15.78,2.61,-1.94,11.11,28.86,26.53,14.92,16.4,12.37,0,46,107753,34.84,29.36,6.56,Healthcare,6.59,0.12,7.25,21.77,2.17,3.99,0.33,10.71,Equity : Index Funds,Nil
Edelweiss Multi Asset Allocation Fund-Reg(G),Bhavesh Jain,HY-MULTI,Unrated,1428.2,0.71,Open Ended,23-Jun-23,CRISIL Short Term Bond Index,11.18,11.18,10.37,0.55,1.59,3.96,7.88,37.34,16.09,6.02,14.92,655,58,324462,22.53,4.54,0.03,Financials,4.22,3.28,7.26,3.65,2.05,3.56,0.08,1.9,Hybrid : Multi Asset Allocation,0.10% on or before 30D Nil after 30D
Edelweiss Multi Cap Fund-Reg(G),Trideep Bhattacharya,EQ-MLC,Unrated,2571.7,1.92,Open Ended,25-Oct-23,Nifty500 Multicap 50:25:25 - TRI,15.42,16.01,11.75,-0.16,-4.5,3.48,28.32,16.36,13.63,6.69,6.47,31,100,112462,47.7,27,24.28,Financials,0.07,0.39,7.15,17.69,1.42,2.1,0.97,15.86,Equity : Multi Cap,1% on or before 90D Nil after 90D
Edelweiss Nifty 100 Quality 30 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,139.7,0.9,Open Ended,07-Oct-21,NIFTY100 Quality 30 - TRI,14.29,15.93,12.3,-2.83,-11.36,-2.26,10.41,21.61,13.19,23.15,5.74,11,30,277337,91.13,8.9,10.77,FMCG,22.22,0.01,7.03,3.18,0.55,0.89,0.76,12.81,Equity : Index Funds,Nil
Edelweiss Nifty 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,118.2,0.5,Open Ended,08-Oct-21,NIFTY 50 - TRI,13.67,14.81,11.97,-1.66,-7.96,-1.53,9.52,15.62,12.02,6.44,11.25,9,50,555829,98.3,1.24,28.15,Financials,7.09,6.9,7.37,1.13,0.44,0.67,0.99,13.9,Equity : Index Funds,Nil
Edelweiss Nifty Alpha Low Volatility 30 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,105.4,1.08,Open Ended,16-May-24,NIFTY Alpha Low-Volatility 30 - TRI,10.34,11.77,9.67,-1.79,-12.38,-3.03,7.35,46.28,25.88,17.83,7.89,38,30,256524,86.88,12.98,21.98,Automobile and Ancillaries,3.09,2.1,7.22,18.57,1.33,1.91,0.95,0.28,Equity : Index Funds,0.10% on or before 15D Nil after 15D
Edelweiss Nifty Bank ETF,Bhavesh Jain,EQ-ETF,Unrated,11,0.07,Open Ended,10-Sep-24,NIFTY BANK - TRI,51.55,54.33,50.05,-1.93,-3.54,3.21,13.16,22.02,5.16,1.24,12.99,60,12,538993,86.29,13.56,91.96,Financials,2.88,3.53,7.11,3.91,0.9,1.31,0.22,1.9,Equity : ETFs,0.25% on or before 30D
Edelweiss NIFTY Large Mid Cap 250 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,225.4,0.83,Open Ended,01-Dec-21,NIFTY LargeMidcap 250 - TRI,16.23,17.3,13.47,-0.16,-6.88,-0.65,17.7,24.92,17.47,30.47,7.67,14,251,158794,51.22,45.26,3.41,Financials,2.64,0.11,7.23,9.05,0.91,1.31,0.98,15.47,Equity : Index Funds,Nil
Edelweiss Nifty Midcap150 Momentum 50 Index Fund-Reg(G),Bhavesh Jain,EQ-INDX,Unrated,766.6,1.11,Open Ended,30-Nov-22,Nifty Midcap150 Momentum 50 - TRI,19.04,19.97,14.43,1.13,-4.34,1.85,30.84,40.39,25.2,15.72,18.02,81,50,76844,19.44,80.45,6.87,Financials,17.72,3.7,6.81,20.61,1.24,1.79,1.08,20.96,Equity : Index Funds,0.50% on or before 30D Nil after 30D
